epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1699.06,1.47081,1.71452,1.36583,0.95931,0.90465,0.94839,0.5945,1.25992,0.79449,1.24739,0.00333171,0.00333171,0.00333171
2,3396.07,1.4591,0.98762,1.35134,0.94703,0.89509,0.93875,0.61528,1.25831,0.70435,1.25622,0.00661006,0.00661006,0.00661006
3,5083.67,1.50554,0.95857,1.39553,0.93611,0.87522,0.9288,0.56201,1.39601,0.7957,1.33948,0.00983341,0.00983341,0.00983341
4,6766.39,1.51802,0.94664,1.42817,0.94818,0.90044,0.9475,0.61976,1.21261,0.69477,1.26914,0.0097525,0.0097525,0.0097525
5,8451.16,1.486,0.88883,1.40992,0.94292,0.90869,0.94528,0.61886,1.2243,0.70077,1.25259,0.00967,0.00967,0.00967
6,10137.6,1.449,0.83614,1.38282,0.93573,0.90503,0.94919,0.63244,1.21218,0.6281,1.23494,0.0095875,0.0095875,0.0095875
7,11813.9,1.42467,0.80123,1.36633,0.9594,0.91816,0.95442,0.64416,1.19309,0.60015,1.23168,0.009505,0.009505,0.009505
8,13490.5,1.4025,0.77853,1.35333,0.96052,0.92521,0.95656,0.65515,1.16876,0.57744,1.20027,0.0094225,0.0094225,0.0094225
9,15165.1,1.37722,0.74956,1.33643,0.97128,0.91646,0.96396,0.65283,1.1826,0.55662,1.21249,0.00934,0.00934,0.00934
10,16835.7,1.36099,0.73768,1.32857,0.97185,0.93055,0.96819,0.65851,1.1737,0.56185,1.20462,0.0092575,0.0092575,0.0092575
11,18505,1.35722,0.73186,1.32063,0.97233,0.93854,0.97123,0.67817,1.1242,0.51078,1.16774,0.009175,0.009175,0.009175
12,20175.3,1.343,0.71503,1.31297,0.97035,0.93881,0.96995,0.67205,1.14764,0.50619,1.17837,0.0090925,0.0090925,0.0090925
13,21846,1.3355,0.70747,1.3093,0.97429,0.9387,0.97429,0.67445,1.14688,0.49998,1.17638,0.00901,0.00901,0.00901
14,23511.9,1.3193,0.69323,1.30434,0.96941,0.93902,0.96944,0.67131,1.13671,0.49513,1.173,0.0089275,0.0089275,0.0089275
15,25175.8,1.31784,0.6882,1.29658,0.97566,0.93445,0.97378,0.683,1.1245,0.49469,1.16196,0.008845,0.008845,0.008845
16,26844.4,1.31053,0.68454,1.29249,0.96803,0.94366,0.97076,0.67728,1.13615,0.4789,1.17081,0.0087625,0.0087625,0.0087625
17,28514.4,1.30123,0.67044,1.2881,0.96795,0.94318,0.97447,0.68079,1.13186,0.47118,1.16647,0.00868,0.00868,0.00868
18,30185.6,1.29856,0.66649,1.28667,0.97773,0.95046,0.97944,0.68679,1.12531,0.46876,1.15962,0.0085975,0.0085975,0.0085975
19,31856.7,1.2821,0.65896,1.27649,0.97628,0.94852,0.97885,0.68403,1.12892,0.45713,1.16156,0.008515,0.008515,0.008515
20,33538.1,1.28909,0.65807,1.27978,0.9743,0.94706,0.97781,0.68374,1.12237,0.45427,1.16184,0.0084325,0.0084325,0.0084325
21,35231.4,1.27791,0.64888,1.27415,0.97424,0.949,0.97951,0.691,1.10971,0.44415,1.14987,0.00835,0.00835,0.00835
22,36923.1,1.27187,0.64445,1.26867,0.98436,0.9474,0.97965,0.6927,1.10602,0.43955,1.14706,0.0082675,0.0082675,0.0082675
23,38628,1.26643,0.63844,1.26547,0.97353,0.94658,0.97916,0.68879,1.11405,0.43371,1.1533,0.008185,0.008185,0.008185
24,40336,1.25951,0.63131,1.26072,0.97466,0.95277,0.98026,0.69567,1.09893,0.43407,1.1419,0.0081025,0.0081025,0.0081025
25,42043.3,1.25942,0.62708,1.26136,0.97858,0.95431,0.98152,0.6987,1.10245,0.42718,1.14363,0.00802,0.00802,0.00802
26,1733,1.25251,0.62443,1.25387,0.98006,0.95471,0.98159,0.7011,1.09488,0.42132,1.13908,0.0079375,0.0079375,0.0079375
27,3509.23,1.24686,0.62508,1.25155,0.9778,0.95435,0.98111,0.69697,1.10068,0.41711,1.14066,0.007855,0.007855,0.007855
28,5274.43,1.24299,0.6167,1.25338,0.97943,0.95483,0.98211,0.70403,1.09589,0.4155,1.13876,0.0077725,0.0077725,0.0077725
29,7037.93,1.23611,0.61547,1.24684,0.98157,0.95688,0.98336,0.69915,1.09622,0.41163,1.13828,0.00769,0.00769,0.00769
30,8935.24,1.24025,0.61754,1.24856,0.98007,0.95386,0.9826,0.70014,1.09572,0.40888,1.13858,0.0076075,0.0076075,0.0076075
31,10703.1,1.2352,0.6085,1.24774,0.98265,0.95192,0.98228,0.70127,1.09796,0.41152,1.13857,0.007525,0.007525,0.007525
32,12474.4,1.23039,0.60739,1.24276,0.98355,0.95804,0.98256,0.70194,1.09412,0.41181,1.13753,0.0074425,0.0074425,0.0074425
33,1701.42,1.2057,0.58709,1.22437,0.98498,0.95555,0.98378,0.70336,1.09253,0.4037,1.13729,0.00736,0.00736,0.00736
34,3397.61,1.2016,0.5862,1.22666,0.98057,0.95585,0.98281,0.70259,1.09385,0.40217,1.13771,0.0072775,0.0072775,0.0072775
35,5126.61,1.19463,0.58033,1.22804,0.97868,0.95872,0.98339,0.70169,1.09559,0.39839,1.13901,0.007195,0.007195,0.007195
36,6960.37,1.19263,0.57614,1.22356,0.98207,0.9576,0.98321,0.70155,1.09646,0.39712,1.14022,0.0071125,0.0071125,0.0071125
37,8697.64,1.20072,0.58524,1.22718,0.98025,0.95629,0.98225,0.7005,1.09731,0.39709,1.14005,0.00703,0.00703,0.00703
38,10413.7,1.19925,0.57877,1.2288,0.98201,0.9544,0.98216,0.70117,1.09629,0.39563,1.13904,0.0069475,0.0069475,0.0069475
39,12128.1,1.2083,0.58309,1.22733,0.98354,0.95532,0.98284,0.70088,1.09376,0.3955,1.13787,0.006865,0.006865,0.006865
40,13836.5,1.20725,0.58921,1.23069,0.98306,0.95678,0.98276,0.70213,1.09323,0.39492,1.13755,0.0067825,0.0067825,0.0067825
41,15543.9,1.2029,0.58058,1.22574,0.98248,0.9592,0.98306,0.70207,1.09097,0.39413,1.13581,0.0067,0.0067,0.0067
42,17246.2,1.19539,0.57708,1.22658,0.98304,0.95872,0.98297,0.70154,1.08983,0.39345,1.13505,0.0066175,0.0066175,0.0066175
43,18950.5,1.19993,0.57978,1.22225,0.98262,0.95775,0.98287,0.70249,1.08998,0.39229,1.13462,0.006535,0.006535,0.006535
44,20650.9,1.19762,0.5719,1.22067,0.98274,0.95823,0.98325,0.70292,1.0895,0.39197,1.13417,0.0064525,0.0064525,0.0064525
45,22352.3,1.193,0.57286,1.22062,0.98478,0.95823,0.98304,0.70244,1.08868,0.39057,1.13403,0.00637,0.00637,0.00637
46,24057.3,1.18554,0.56646,1.22012,0.9855,0.95712,0.98313,0.70374,1.08892,0.39034,1.13432,0.0062875,0.0062875,0.0062875
47,25759,1.18664,0.56577,1.21542,0.98505,0.95678,0.98373,0.70371,1.08795,0.38956,1.13372,0.006205,0.006205,0.006205
48,27462.5,1.18824,0.56937,1.21531,0.98451,0.95701,0.98361,0.70313,1.08728,0.38883,1.13355,0.0061225,0.0061225,0.0061225
49,29165.1,1.18392,0.56277,1.2174,0.98452,0.95735,0.98385,0.70472,1.08712,0.38901,1.13335,0.00604,0.00604,0.00604
50,30863,1.18395,0.56322,1.2166,0.98403,0.9577,0.98341,0.70441,1.08636,0.38824,1.13288,0.0059575,0.0059575,0.0059575
51,32559.2,1.16976,0.55905,1.2098,0.98311,0.95629,0.98317,0.70427,1.08562,0.38722,1.13248,0.005875,0.005875,0.005875
52,34257,1.17733,0.56127,1.21016,0.98254,0.95633,0.9831,0.70482,1.08522,0.38661,1.13247,0.0057925,0.0057925,0.0057925
53,35958.6,1.17422,0.55629,1.2091,0.98302,0.95609,0.98342,0.7048,1.08463,0.38589,1.13232,0.00571,0.00571,0.00571
54,1879.47,1.14565,0.53527,1.19169,0.98352,0.95648,0.98332,0.7052,1.08467,0.38537,1.13238,0.0056275,0.0056275,0.0056275
55,3914.1,1.1454,0.54162,1.1947,0.98303,0.95653,0.98316,0.70508,1.08435,0.38528,1.13224,0.005545,0.005545,0.005545
56,1952.78,1.13663,0.53062,1.18709,0.98402,0.95702,0.98361,0.705,1.08436,0.38484,1.13235,0.0054625,0.0054625,0.0054625
57,4020.61,1.13988,0.53768,1.19069,0.98452,0.95734,0.98363,0.70449,1.08441,0.3842,1.13238,0.00538,0.00538,0.00538
58,1727.7,1.12905,0.52634,1.1833,0.98451,0.95719,0.98354,0.7052,1.08384,0.38378,1.13226,0.0052975,0.0052975,0.0052975
59,3505.65,1.13824,0.535,1.19127,0.98451,0.9572,0.98384,0.70491,1.08421,0.38341,1.13245,0.005215,0.005215,0.005215
60,5245.56,1.13778,0.53248,1.19302,0.98431,0.95775,0.98396,0.70497,1.08385,0.38322,1.13237,0.0051325,0.0051325,0.0051325
61,6965.34,1.13762,0.53146,1.1894,0.98428,0.95823,0.98417,0.70577,1.08389,0.38326,1.13232,0.00505,0.00505,0.00505
62,8685.63,1.13986,0.53906,1.18861,0.98448,0.95775,0.9837,0.70505,1.08371,0.38331,1.13223,0.0049675,0.0049675,0.0049675
63,10405.4,1.14138,0.53006,1.19204,0.98441,0.95775,0.98374,0.70544,1.08395,0.38323,1.13227,0.004885,0.004885,0.004885
64,12122.3,1.14657,0.53279,1.1899,0.98454,0.95866,0.98366,0.70554,1.08385,0.38315,1.13217,0.0048025,0.0048025,0.0048025
65,13839,1.14427,0.53364,1.19258,0.984,0.95872,0.98369,0.7059,1.08383,0.38281,1.13198,0.00472,0.00472,0.00472
66,15557,1.14284,0.53024,1.18841,0.9838,0.95823,0.98388,0.70504,1.0838,0.3825,1.13177,0.0046375,0.0046375,0.0046375
67,17275.9,1.13657,0.53022,1.19134,0.98453,0.95817,0.98382,0.70477,1.08396,0.38234,1.13178,0.004555,0.004555,0.004555
68,18991.9,1.14132,0.53119,1.19072,0.98452,0.95781,0.98386,0.70618,1.08334,0.3817,1.13149,0.0044725,0.0044725,0.0044725
69,1705.64,1.09752,0.50577,1.16681,0.98502,0.95816,0.98372,0.70597,1.0834,0.38175,1.13143,0.00439,0.00439,0.00439
70,3443.39,1.11085,0.51442,1.17565,0.98453,0.95796,0.98378,0.70634,1.08372,0.38113,1.13157,0.0043075,0.0043075,0.0043075
71,5180.94,1.1099,0.51336,1.17714,0.98453,0.95839,0.98387,0.70683,1.08402,0.38095,1.13184,0.004225,0.004225,0.004225
72,6919.1,1.11014,0.50948,1.17362,0.98454,0.95885,0.98393,0.70649,1.08379,0.38076,1.13189,0.0041425,0.0041425,0.0041425
73,8656.49,1.11505,0.52052,1.17517,0.98404,0.95834,0.98352,0.70647,1.08373,0.3812,1.13194,0.00406,0.00406,0.00406
74,10390.2,1.12022,0.51446,1.17905,0.98404,0.95825,0.98357,0.70565,1.08381,0.38112,1.13196,0.0039775,0.0039775,0.0039775
75,12124.8,1.12301,0.51775,1.17889,0.98502,0.95828,0.98377,0.70492,1.08371,0.38015,1.13186,0.003895,0.003895,0.003895
76,13858.7,1.12259,0.51666,1.18094,0.98502,0.95828,0.98356,0.70504,1.08377,0.38005,1.1318,0.0038125,0.0038125,0.0038125
77,15590.4,1.12118,0.51252,1.17737,0.98447,0.95775,0.98354,0.70677,1.08331,0.37996,1.13147,0.00373,0.00373,0.00373
78,17321.1,1.11581,0.51304,1.178,0.98402,0.9573,0.98354,0.70565,1.08313,0.37913,1.13126,0.0036475,0.0036475,0.0036475
79,19052.1,1.1223,0.51589,1.17809,0.98502,0.95813,0.98387,0.70515,1.083,0.37863,1.13118,0.003565,0.003565,0.003565
80,20781.8,1.12127,0.50792,1.18025,0.98551,0.95764,0.98392,0.70635,1.0831,0.37873,1.13105,0.0034825,0.0034825,0.0034825
81,22509.7,1.12196,0.51097,1.17704,0.98502,0.95802,0.98393,0.70628,1.0827,0.378,1.13085,0.0034,0.0034,0.0034
82,24239.1,1.11274,0.51043,1.17591,0.98453,0.95802,0.9835,0.70645,1.08252,0.37752,1.13077,0.0033175,0.0033175,0.0033175
83,25968,1.11469,0.50789,1.17456,0.98454,0.95855,0.98353,0.70578,1.08208,0.37698,1.13065,0.003235,0.003235,0.003235
84,27692.9,1.12015,0.50798,1.17471,0.98366,0.95872,0.98356,0.70691,1.08152,0.37648,1.13045,0.0031525,0.0031525,0.0031525
85,29419.9,1.11084,0.50407,1.1742,0.98404,0.95831,0.98362,0.70714,1.08112,0.3759,1.13032,0.00307,0.00307,0.00307
86,31146.8,1.11671,0.50581,1.17677,0.98307,0.9588,0.98364,0.70706,1.08056,0.3755,1.12983,0.0029875,0.0029875,0.0029875
87,32868.8,1.10448,0.50138,1.17036,0.98307,0.95907,0.98368,0.70743,1.08057,0.37517,1.12976,0.002905,0.002905,0.002905
88,34606.8,1.11071,0.50345,1.17046,0.98356,0.95876,0.98368,0.70729,1.08039,0.37495,1.12974,0.0028225,0.0028225,0.0028225
